version	accession	release_classification	built_classification	unresolved_reason	virus_type	country	collection_date
JN393184.1	JN393184	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393185.1	JN393185	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393186.1	JN393186	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393187.1	JN393187	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393188.1	JN393188	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393189.1	JN393189	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393190.1	JN393190	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393191.1	JN393191	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393192.1	JN393192	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393193.1	JN393193	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393194.1	JN393194	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393195.1	JN393195	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393196.1	JN393196	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393197.1	JN393197	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393198.1	JN393198	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393199.1	JN393199	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393200.1	JN393200	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393201.1	JN393201	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393202.1	JN393202	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393203.1	JN393203	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393204.1	JN393204	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393205.1	JN393205	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN812669.1	JN812669	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812670.1	JN812670	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812671.1	JN812671	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812672.1	JN812672	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812673.1	JN812673	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812674.1	JN812674	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812675.1	JN812675	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812676.1	JN812676	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812677.1	JN812677	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812678.1	JN812678	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812679.1	JN812679	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812680.1	JN812680	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812681.1	JN812681	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812682.1	JN812682	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812683.1	JN812683	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1986
JN812684.1	JN812684	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1983
JN812685.1	JN812685	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1981
JN812686.1	JN812686	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1981
JN812687.1	JN812687	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1981
JN812688.1	JN812688	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812689.1	JN812689	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1984
JN812690.1	JN812690	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812691.1	JN812691	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812692.1	JN812692	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1985
JN812693.1	JN812693	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812694.1	JN812694	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812695.1	JN812695	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812696.1	JN812696	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812697.1	JN812697	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812698.1	JN812698	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812699.1	JN812699	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812700.1	JN812700	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812701.1	JN812701	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812702.1	JN812702	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812703.1	JN812703	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812704.1	JN812704	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812705.1	JN812705	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812706.1	JN812706	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812707.1	JN812707	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812708.1	JN812708	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812709.1	JN812709	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812710.1	JN812710	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812711.1	JN812711	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812712.1	JN812712	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812713.1	JN812713	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812714.1	JN812714	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812715.1	JN812715	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812716.1	JN812716	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812717.1	JN812717	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812718.1	JN812718	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812719.1	JN812719	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812720.1	JN812720	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812721.1	JN812721	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812722.1	JN812722	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812723.1	JN812723	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812724.1	JN812724	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812725.1	JN812725	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812726.1	JN812726	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812727.1	JN812727	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812728.1	JN812728	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812729.1	JN812729	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812730.1	JN812730	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1986
JN812731.1	JN812731	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1983
JN812732.1	JN812732	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1981
JN812733.1	JN812733	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1981
JN812734.1	JN812734	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1981
JN812735.1	JN812735	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812736.1	JN812736	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1982
JN812737.1	JN812737	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1984
JN812738.1	JN812738	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812739.1	JN812739	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812740.1	JN812740	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1988
JN812741.1	JN812741	wild		too_little_vp1_compared_to_measure_divergence	PV1	Brazil	1985
JN812742.1	JN812742	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812743.1	JN812743	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812744.1	JN812744	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812745.1	JN812745	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812746.1	JN812746	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812747.1	JN812747	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812748.1	JN812748	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812749.1	JN812749	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812750.1	JN812750	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812751.1	JN812751	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812752.1	JN812752	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812753.1	JN812753	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812754.1	JN812754	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812755.1	JN812755	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812756.1	JN812756	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812757.1	JN812757	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812758.1	JN812758	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812759.1	JN812759	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812760.1	JN812760	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812761.1	JN812761	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812762.1	JN812762	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812763.1	JN812763	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812764.1	JN812764	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812765.1	JN812765	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812766.1	JN812766	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812767.1	JN812767	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812768.1	JN812768	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812769.1	JN812769	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
JN812770.1	JN812770	wild		too_little_vp1_compared_to_measure_divergence	PV3	Brazil	1988
KC812248.1	KC812248	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2008
KC812249.1	KC812249	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2008
KC812250.1	KC812250	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2008
KC812251.1	KC812251	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2009
KC812252.1	KC812252	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2009
KC812253.1	KC812253	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2009
KC812254.1	KC812254	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2009
KC812255.1	KC812255	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2009
KC812256.1	KC812256	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2009
KC812257.1	KC812257	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	2009
KF698762.1	KF698762	wild		too_little_vp1_compared_to_measure_divergence	PV1	Nigeria	2012
KF990618.1	KF990618	wild		too_little_vp1_compared_to_measure_divergence	PV1	Pakistan	2012
KF990619.1	KF990619	wild		too_little_vp1_compared_to_measure_divergence	PV1	Pakistan	2012
KF990620.1	KF990620	wild		too_little_vp1_compared_to_measure_divergence	PV1	Pakistan	2012
KM233675.1	KM233675	cVDPV		too_little_vp1_compared_to_measure_divergence	PV2	Nigeria	2012
KM235192.1	KM235192	cVDPV		too_little_vp1_compared_to_measure_divergence	PV2	Nigeria	2012
KM235193.1	KM235193	cVDPV		too_little_vp1_compared_to_measure_divergence	PV2	Nigeria	2012
KP143045.1	KP143045	cVDPV	VDPV		PV2	Chad	2013
KP143046.1	KP143046	cVDPV	VDPV		PV2	Chad	2013
KP143047.1	KP143047	cVDPV	VDPV		PV2	Chad	2013
KP143048.1	KP143048	cVDPV	VDPV		PV2	Chad	2013
KP143049.1	KP143049	cVDPV	VDPV		PV2	Nigeria	2013
KP143050.1	KP143050	cVDPV	VDPV		PV2	Nigeria	2013
KP143051.1	KP143051	cVDPV	VDPV		PV2	Nigeria	2013
KP143052.1	KP143052	cVDPV	VDPV		PV2	Nigeria	2013
KP143053.1	KP143053	cVDPV	VDPV		PV2	Nigeria	2013
KP143054.1	KP143054	cVDPV	VDPV		PV2	Chad	2012
KP143055.1	KP143055	cVDPV	VDPV		PV2	Chad	2012
KP143056.1	KP143056	cVDPV	Sabin-like		PV2	Chad	2012
KP143057.1	KP143057	cVDPV	VDPV		PV2	Cameroon	2013
KP143058.1	KP143058	cVDPV	VDPV		PV2	Cameroon	2013
KP143059.1	KP143059	cVDPV	VDPV		PV2	Cameroon	2013
KP143060.1	KP143060	cVDPV	VDPV		PV2	Cameroon	2013
KP143061.1	KP143061	cVDPV	VDPV		PV2	Chad	2012
KP143062.1	KP143062	cVDPV	VDPV		PV2	Nigeria	2012
KP143063.1	KP143063	cVDPV	VDPV		PV2	Nigeria	2012
KP143064.1	KP143064	cVDPV	VDPV		PV2	Nigeria	2012
KP143065.1	KP143065	cVDPV	VDPV		PV2	Nigeria	2012
KP143066.1	KP143066	cVDPV	VDPV		PV2	Democratic Republic of the Congo	2012
KP143067.1	KP143067	cVDPV	VDPV		PV2	Democratic Republic of the Congo	2012
KP143068.1	KP143068	cVDPV	VDPV		PV2	Democratic Republic of the Congo	2012
KP143069.1	KP143069	cVDPV	VDPV		PV2	Democratic Republic of the Congo	2012
KP143070.1	KP143070	cVDPV	VDPV		PV2	Democratic Republic of the Congo	2012
KP143071.1	KP143071	cVDPV	VDPV		PV2	Democratic Republic of the Congo	2012
KP143072.1	KP143072	cVDPV	VDPV		PV2	Democratic Republic of the Congo	2012
KR817050.1	KR817050	iVDPV	VDPV		PV2	United Kingdom	1999-11-01
KR817051.1	KR817051	iVDPV	VDPV		PV2	United Kingdom	1998-01-16
KR817052.1	KR817052	iVDPV	VDPV		PV2	United Kingdom	1995-03-29
KR817054.1	KR817054	iVDPV	wild		PV2	United Kingdom	2012-10-17
KR817055.1	KR817055	iVDPV	wild		PV2	United Kingdom	2010-11-17
KR817056.1	KR817056	iVDPV	wild		PV2	United Kingdom	2008-11-07
KR817057.1	KR817057	iVDPV	VDPV		PV2	United Kingdom	2002-01-21
KR817058.1	KR817058	iVDPV	VDPV		PV2	United Kingdom	2000-01-19
KR817059.1	KR817059	iVDPV	VDPV		PV2	United Kingdom	2003-05-08
KR817060.1	KR817060	iVDPV	wild		PV2	United Kingdom	2006-06-30
KU878954.1	KU878954	iVDPV	VDPV		PV2	USA	1992
KU878955.1	KU878955	iVDPV	VDPV		PV2	USA	1990-05-17
KU878956.1	KU878956	iVDPV	VDPV		PV2	Iran	1995
KU878957.1	KU878957	iVDPV	VDPV		PV2	Iran	2005-08-11
KU878958.1	KU878958	iVDPV	VDPV		PV2	Colombia	2009-07-09
KX162709.1	KX162709	wild		too_little_vp1_compared_to_measure_divergence	PV1	Nigeria	2011-09-18
KY026068.1	KY026068	wild		follows_unresolved_virus_group	PV1	Italy	2016-06-07
L23844.1	L23844	wild	VDPV		PV3		
L23845.1	L23845	wild	VDPV		PV3		
L23846.1	L23846	wild	VDPV		PV3		
L23847.1	L23847	wild	VDPV		PV3		
L23848.1	L23848	wild	VDPV		PV3		
M19572.1	M19572	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19573.1	M19573	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19574.1	M19574	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19575.1	M19575	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19576.1	M19576	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19577.1	M19577	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19578.1	M19578	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19579.1	M19579	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19580.1	M19580	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19581.1	M19581	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19582.1	M19582	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19583.1	M19583	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19584.1	M19584	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19585.1	M19585	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19586.1	M19586	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19587.1	M19587	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19588.1	M19588	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19589.1	M19589	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19590.1	M19590	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19591.1	M19591	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19592.1	M19592	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19593.1	M19593	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19594.1	M19594	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19595.1	M19595	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19596.1	M19596	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19597.1	M19597	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19598.1	M19598	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19599.1	M19599	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19600.1	M19600	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19601.1	M19601	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19602.1	M19602	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19603.1	M19603	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19604.1	M19604	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19605.1	M19605	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19606.1	M19606	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19607.1	M19607	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19608.1	M19608	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19609.1	M19609	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19610.1	M19610	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19611.1	M19611	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19612.1	M19612	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19613.1	M19613	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19614.1	M19614	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19615.1	M19615	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19616.1	M19616	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19617.1	M19617	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19618.1	M19618	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19619.1	M19619	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19620.1	M19620	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19621.1	M19621	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19622.1	M19622	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19623.1	M19623	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19624.1	M19624	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19625.1	M19625	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19626.1	M19626	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19627.1	M19627	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19628.1	M19628	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19629.1	M19629	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19630.1	M19630	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19631.1	M19631	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19632.1	M19632	wild		too_little_vp1_compared_to_measure_divergence	PV1		
M19633.1	M19633	wild		too_little_vp1_compared_to_measure_divergence	PV1		
OK634089.1	OK634089	cVDPV	VDPV		PV2	Angola	2019
OK634090.1	OK634090	cVDPV	VDPV		PV2	Angola	2019
OK634091.1	OK634091	cVDPV	VDPV		PV2	Angola	2019
OK634092.1	OK634092	cVDPV	VDPV		PV2	Angola	2019
OK634093.1	OK634093	cVDPV	VDPV		PV2	Angola	2019
OK634094.1	OK634094	cVDPV	VDPV		PV2	Angola	2019
OK634095.1	OK634095	cVDPV	VDPV		PV2	Angola	2019
OK634096.1	OK634096	cVDPV	VDPV		PV2	Angola	2019
OK634097.1	OK634097	cVDPV	VDPV		PV2	Angola	2019
OK634098.1	OK634098	cVDPV	VDPV		PV2	Angola	2019
OK634099.1	OK634099	cVDPV	VDPV		PV2	Angola	2019
OK634100.1	OK634100	cVDPV	VDPV		PV2	Angola	2019
OK634101.1	OK634101	cVDPV	VDPV		PV2	Angola	2019
OK634102.1	OK634102	cVDPV	VDPV		PV2	Angola	2019
OK634103.1	OK634103	cVDPV	VDPV		PV2	Angola	2019
OK634104.1	OK634104	cVDPV	VDPV		PV2	Angola	2019
OK634105.1	OK634105	cVDPV	VDPV		PV2	Angola	2019
OK634106.1	OK634106	cVDPV	VDPV		PV2	Angola	2019
OK634107.1	OK634107	cVDPV	VDPV		PV2	Angola	2019
OK634108.1	OK634108	cVDPV	VDPV		PV2	Angola	2019
OK634109.1	OK634109	cVDPV	VDPV		PV2	Angola	2019
OK634110.1	OK634110	cVDPV	VDPV		PV2	Angola	2019
OK634111.1	OK634111	cVDPV	VDPV		PV2	Angola	2019
OK634112.1	OK634112	cVDPV	VDPV		PV2	Angola	2019
OK634113.1	OK634113	cVDPV	VDPV		PV2	Angola	2020
OK634114.1	OK634114	cVDPV	VDPV		PV2	Angola	2020
OK634115.1	OK634115	cVDPV	VDPV		PV2	Angola	2019
OK634116.1	OK634116	cVDPV	VDPV		PV2	Angola	2019
OK634117.1	OK634117	cVDPV	VDPV		PV2	Angola	2019
OK634118.1	OK634118	cVDPV	VDPV		PV2	Angola	2019
OK634119.1	OK634119	cVDPV	VDPV		PV2	Angola	2019
OK634120.1	OK634120	cVDPV	VDPV		PV2	Angola	2019
OK634121.1	OK634121	cVDPV	VDPV		PV2	Angola	2019
OK634122.1	OK634122	cVDPV	VDPV		PV2	Angola	2019
OK634123.1	OK634123	cVDPV	VDPV		PV2	Angola	2019
OK634124.1	OK634124	cVDPV	VDPV		PV2	Angola	2019
OK634125.1	OK634125	cVDPV	VDPV		PV2	Angola	2019
OK634126.1	OK634126	cVDPV	VDPV		PV2	Angola	2019
OK634127.1	OK634127	cVDPV	VDPV		PV2	Angola	2019
OK634128.1	OK634128	cVDPV	VDPV		PV2	Angola	2019
OK634129.1	OK634129	cVDPV	VDPV		PV2	Angola	2019
OK634130.1	OK634130	cVDPV	VDPV		PV2	Angola	2019
OK634131.1	OK634131	cVDPV	VDPV		PV2	Angola	2019
OK634132.1	OK634132	cVDPV	VDPV		PV2	Angola	2019
OK634133.1	OK634133	cVDPV	VDPV		PV2	Angola	2019
OK634134.1	OK634134	cVDPV	VDPV		PV2	Angola	2019
OK634135.1	OK634135	cVDPV	VDPV		PV2	Angola	2019
OK634136.1	OK634136	cVDPV	VDPV		PV2	Angola	2019
OK634137.1	OK634137	cVDPV	VDPV		PV2	Angola	2019
OK634138.1	OK634138	cVDPV	VDPV		PV2	Angola	2019
OK634139.1	OK634139	cVDPV	VDPV		PV2	Angola	2019
OK634140.1	OK634140	cVDPV	VDPV		PV2	Angola	2019
OK634141.1	OK634141	cVDPV	VDPV		PV2	Angola	2019
OK634142.1	OK634142	cVDPV	VDPV		PV2	Angola	2019
OK634143.1	OK634143	cVDPV	VDPV		PV2	Angola	2019
OK634144.1	OK634144	cVDPV	VDPV		PV2	Angola	2019
OK634145.1	OK634145	cVDPV	VDPV		PV2	Angola	2019
OK634146.1	OK634146	cVDPV	VDPV		PV2	Angola	2019
OK634147.1	OK634147	cVDPV	VDPV		PV2	Angola	2019
OK634148.1	OK634148	cVDPV	VDPV		PV2	Angola	2019
OK634149.1	OK634149	cVDPV	VDPV		PV2	Angola	2019
OK634150.1	OK634150	cVDPV	VDPV		PV2	Angola	2019
OK634151.1	OK634151	cVDPV	VDPV		PV2	Angola	2019
OK634152.1	OK634152	cVDPV	VDPV		PV2	Angola	2019
OK634153.1	OK634153	cVDPV	VDPV		PV2	Angola	2019
OK634154.1	OK634154	cVDPV	VDPV		PV2	Angola	2019
OK634155.1	OK634155	cVDPV	VDPV		PV2	Angola	2019
OK634156.1	OK634156	cVDPV	VDPV		PV2	Angola	2019
OK634157.1	OK634157	cVDPV	VDPV		PV2	Angola	2019
OK634158.1	OK634158	cVDPV	VDPV		PV2	Angola	2019
OK634159.1	OK634159	cVDPV	VDPV		PV2	Angola	2019
OK634160.1	OK634160	cVDPV	VDPV		PV2	Angola	2019
OK634161.1	OK634161	cVDPV	VDPV		PV2	Angola	2019
OK634162.1	OK634162	cVDPV	VDPV		PV2	Angola	2019
OK634163.1	OK634163	cVDPV	VDPV		PV2	Angola	2019
OK634164.1	OK634164	cVDPV	VDPV		PV2	Angola	2019
OK634165.1	OK634165	cVDPV	VDPV		PV2	Angola	2019
OK634166.1	OK634166	cVDPV	VDPV		PV2	Angola	2019
OK634167.1	OK634167	cVDPV	VDPV		PV2	Angola	2019
OK634168.1	OK634168	cVDPV	VDPV		PV2	Angola	2019
OK634169.1	OK634169	cVDPV	VDPV		PV2	Angola	2019
OK634170.1	OK634170	cVDPV	VDPV		PV2	Angola	2019
OK634171.1	OK634171	cVDPV	VDPV		PV2	Angola	2019
OK634172.1	OK634172	cVDPV	VDPV		PV2	Angola	2019
OK634173.1	OK634173	cVDPV	VDPV		PV2	Angola	2019
OK634174.1	OK634174	cVDPV	VDPV		PV2	Angola	2019
OK634175.1	OK634175	cVDPV	VDPV		PV2	Angola	2019
OK634176.1	OK634176	cVDPV	VDPV		PV2	Angola	2019
OK634177.1	OK634177	cVDPV	VDPV		PV2	Angola	2019
OK634178.1	OK634178	cVDPV	VDPV		PV2	Angola	2019
OK634179.1	OK634179	cVDPV	VDPV		PV2	Angola	2019
OK634180.1	OK634180	cVDPV	VDPV		PV2	Angola	2019
